_id,bankNameExtracter,bank_domain_length,bank_full_endpoint,bank_full_name,bank_name_denoter,bank_short_endpoint,bank_short_endpoint_hashed_form_md5,bank_short_forms,is_running_on_https
6510984e70c92eadc4ecf15c,"""DBGBBK"" : [""madhya bihar gramin bank(dakshin bihar gramin bank )"", ""madhya bihar"", ""dbgb""],",7,https://www.dbgb.in,Madhya Bihar Gramin Bank(Dakshin Bihar Gramin Bank ),DBGBBK,dbgb.in,073ab52bb63d7c069589518c470be1da,"[""madhya bihar gramin bank(dakshin bihar gramin bank )"", ""madhya bihar"", ""dbgb""],",
6510984e70c92eadc4ecf15e,"""JKGBBK"" : [""j & k grameen bank"", ""j & k grameen"", ""jkgb""],",7,https://www.jkgb.in,J & K Grameen Bank,JKGBBK,jkgb.in,b384c95986ea0023acab1be7b6523ace,"[""j & k grameen bank"", ""j & k grameen"", ""jkgb""],",
6510984e70c92eadc4ecf15d,"""KNSBBK"" : [""shree kadi nagarik sahakari bank ltd"", ""kadi nagarik"", ""knsb""],",7,https://www.knsb.in,Shree Kadi Nagarik Sahakari Bank Ltd,KNSBBK,knsb.in,a96267aea1e13a0e2e4b797d5f6e854a,"[""shree kadi nagarik sahakari bank ltd"", ""kadi nagarik"", ""knsb""],",
6510984e70c92eadc4ecf163,"""HSBCBK"" : [""hsbc""],",8,https://www.hsbc.com,HSBC,HSBCBK,hsbc.com,3a3c83c92411f2f74bd2aada2b5cc10b,"[""hsbc""],",
6510984e70c92eadc4ecf169,"""NCBBK"" : [""union co-operative bank ltd."", ""union co-operative"", ""union co-operative cooperative""],",8,https://www.ncb.coop/,Union Co-operative Bank Ltd.,NCBBK,ncb.coop,89bf034a5d5cba808488a85e9cddb598,"[""union co-operative bank ltd."", ""union co-operative"", ""union co-operative cooperative""],",
6510984e70c92eadc4ecf16d,"""SVSBLBK"" : [""shree vardhaman sahakari bank ltd"", ""shree vardhaman sahakari"", ""shree vardhaman sahakari cooperative""],",8,https://svsbl.in/,Shree Vardhaman Sahakari Bank Ltd,SVSBLBK,svsbl.in,060495765c405c70a258cd2df80e9e61,"[""shree vardhaman sahakari bank ltd"", ""shree vardhaman sahakari"", ""shree vardhaman sahakari cooperative""],",
6510984e70c92eadc4ecf17b,"""CSBANKBK"" : [""chartered sahakari bank niyamitha"", ""chartered sahakari"", ""chartered sahakari cooperative""],",9,https://csbank.in,Chartered Sahakari Bank Niyamitha,CSBANKBK,csbank.in,f92822261531ab01b9dcbf0bdbce53cf,"[""chartered sahakari bank niyamitha"", ""chartered sahakari"", ""chartered sahakari cooperative""],",
6510984e70c92eadc4ecf183,"""AUCBLBK"" : [""arihant urban co-operative bank ltd"", ""arihant urban"", ""arihant urban cooperative""],",9,https://www.aucbl.com/,Arihant Urban Co-Operative Bank Ltd,AUCBLBK,aucbl.com,e133c8b919674963358fffdb1a762f52,"[""arihant urban co-operative bank ltd"", ""arihant urban"", ""arihant urban cooperative""],",
6510984e70c92eadc4ecf1a1,"""VCCBANKBK"" : [""the vellore district central co-op bank ltd."", ""the vellore district central"", ""the vellore district central cooperative""],",10,https://www.vccbank.in/,The Vellore District Central Co-Op Bank Ltd.,VCCBANKBK,vccbank.in,c4e2d8086acd51f72a0888acff17cb32,"[""the vellore district central co-op bank ltd."", ""the vellore district central"", ""the vellore district central cooperative""],",
6510984e70c92eadc4ecf1a6,"""LUCBANKBK"" : [""laxmi urban co-op. bank ltd. latur."", ""laxmi urban co-op."", ""laxmi urban co-op. cooperative latur""],",10,https://www.lucbank.in/,Laxmi Urban Co-Op. Bank Ltd. Latur.,LUCBANKBK,lucbank.in,f8b55768840111d3c8aa70d37da6ab13,"[""laxmi urban co-op. bank ltd. latur."", ""laxmi urban co-op."", ""laxmi urban co-op. cooperative latur""],",
6510984e70c92eadc4ecf1ce,"""FINOBANKBK"" : [""fino payments bank"", ""fino""],",12,https://www.finobank.com,Fino Payments Bank,FINOBANKBK,finobank.com,09e203dd37107f736cddc5beed7e3a44,"[""fino payments bank"", ""fino""],",
6510984e70c92eadc4ecf1d9,"""GDCCBANKBK"" : [""the gadchiroli district central co-operative bank"", ""gadchiroli district"", ""gadchiroli district cooperative""],",12,http://www.gdccbank.com,The Gadchiroli District Central Co-operative Bank,GDCCBANKBK,gdccbank.com,a23a21761ce6095b26357acc474cbb7a,"[""the gadchiroli district central co-operative bank"", ""gadchiroli district"", ""gadchiroli district cooperative""],",
6510984e70c92eadc4ecf16b,"""BDCCBBK"" : [""bharuch district central co-operative bank ltd"", ""bharuch district central"", ""bharuch district central cooperative""],",8,https://www.bdccb.in/,Bharuch District Central Co-operative Bank Ltd,BDCCBBK,bdccb.in,0b5a73ee24f7faebac68e0f80562e130,"[""bharuch district central co-operative bank ltd"", ""bharuch district central"", ""bharuch district central cooperative""],",
6510984e70c92eadc4ecf173,"""AUBANKBK"" : [""au small finance bank"", ""au""],",9,https://www.aubank.in,AU Small Finance Bank,AUBANKBK,aubank.in,f8eeaa05154101c6d59466d71be7b712,"[""au small finance bank"", ""au""],",
6510984e70c92eadc4ecf174,"""TBSBLBK"" : [""thane bharat sahakari bank"", ""thane bharat""],",9,https://tbsbl.com,Thane Bharat Sahakari Bank,TBSBLBK,tbsbl.com,609110104fd0f783518744febece4b2b,"[""thane bharat sahakari bank"", ""thane bharat""],",
6510984e70c92eadc4ecf188,"""MIECBBK"" : [""the makarpura industrial estate cooperative bank ltd."", ""the makarpura industrial estate cooperative bank"", ""the makarpura industrial estate cooperative bank cooperative""],",9,https://www.miecb.com/,The Makarpura Industrial Estate Cooperative Bank Ltd.,MIECBBK,miecb.com,61c26934e472d8bbf40e6b928ab02dfa,"[""the makarpura industrial estate cooperative bank ltd."", ""the makarpura industrial estate cooperative bank"", ""the makarpura industrial estate cooperative bank cooperative""],",
6510984e70c92eadc4ecf1ac,"""DCBBANKBK"" : [""dcb bank"", ""dcb""],",11,https://www.dcbbank.com,DCB Bank,DCBBANKBK,dcbbank.com,25f3881e79e684f7253c5dde5d9311f3,"[""dcb bank"", ""dcb""],",
6510984e70c92eadc4ecf1ba,"""JPCBANKBK"" : [""the jalgaon peoples co-op bank ltd."", ""the jalgaon peoples"", ""the jalgaon peoples cooperative""],",11,https://www.jpcbank.com,The Jalgaon Peoples Co-op Bank Ltd.,JPCBANKBK,jpcbank.com,bffcb360813eff0fd9140130bc41f683,"[""the jalgaon peoples co-op bank ltd."", ""the jalgaon peoples"", ""the jalgaon peoples cooperative""],",
6510984e70c92eadc4ecf1c5,"""VPCBANKBK"" : [""the veraval peoples coop bank ltd"", ""the veraval peoples coop"", ""the veraval peoples coop cooperative""],",11,https://vpcbank.com/,The Veraval peoples Coop Bank Ltd,VPCBANKBK,vpcbank.com,9788d1d12e94bb54cd39c7bef8541e7d,"[""the veraval peoples coop bank ltd"", ""the veraval peoples coop"", ""the veraval peoples coop cooperative""],",
6510984e70c92eadc4ecf1d0,"""ESAFBANKBK"" : [""esaf small finance bank"", ""esaf""],",12,https://www.esafbank.com,ESAF Small Finance Bank,ESAFBANKBK,esafbank.com,341e371322e73ba69c147851dcdd535b,"[""esaf small finance bank"", ""esaf""],",
6510984e70c92eadc4ecf1dc,"""JSBLBANKBK"" : [""janakalyan sahakari bank"", ""janakalyan"", ""janakalyan cooperative""],",12,https://www.jsblbank.com,Janakalyan Sahakari Bank,JSBLBANKBK,jsblbank.com,3c05a2c79f3b87751ddc3f09e730d4ba,"[""janakalyan sahakari bank"", ""janakalyan"", ""janakalyan cooperative""],",
6510984e70c92eadc4ecf168,"""SMCBLBK"" : [""shri mahalaxmi co-op bank ltd kolhapur"", ""shri mahalaxmi co-op"", ""shri mahalaxmi co-op cooperative kolhapur""],",8,http://www.smcbl.in/,Shri Mahalaxmi Co-op Bank Ltd Kolhapur,SMCBLBK,smcbl.in,00da38a19c771759b2a33d339fcfe666,"[""shri mahalaxmi co-op bank ltd kolhapur"", ""shri mahalaxmi co-op"", ""shri mahalaxmi co-op cooperative kolhapur""],",
